Sezione,Ubicazione,Voti
107,"P.ALBERTELLI V.P.ALBERTELLI,1",20.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",21.0
109,"BARTOLENA VIA E.BOIS,14",19.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",19.0
111,"BARTOLENA VIA E.BOIS,14",23.0
112,"BARTOLENA VIA E.BOIS,14",10.0
113,"BARTOLENA VIA E.BOIS,14",23.0
114,"R.NATALI VIA A.CECIONI,37",26.0
115,"R.NATALI VIA A.CECIONI,37",26.0
116,"R.NATALI VIA A.CECIONI,37",14.0
117,"R.NATALI VIA A.CECIONI,37",25.0
118,"B.BRIN VIA SARDEGNA,25",15.0
119,"B.BRIN VIA SARDEGNA,25",26.0
120,"B.BRIN VIA SARDEGNA,25",37.0
121,"B.BRIN VIA SARDEGNA,25",20.0
122,"B.BRIN VIA SARDEGNA,25",21.0
123,"B.BRIN VIA SARDEGNA,25",26.0
124,LAMBRUSCHINI VIA P.VILLARI,16.0
125,LAMBRUSCHINI VIA P.VILLARI,25.0
126,"C.CATTANEO VIA C.CATTANEO,5",23.0
127,"C.CATTANEO VIA C.CATTANEO,5",32.0
128,"C.CATTANEO VIA C.CATTANEO,5",21.0
129,"C.CATTANEO VIA C.CATTANEO,5",13.0
130,"C.CATTANEO VIA C.CATTANEO,5",23.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",21.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",33.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",27.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",25.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",28.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",27.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",20.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",25.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",33.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",16.0
141,"ELEM.MONT.VIA DI MONTENERO,408",31.0
142,"ELEM.MONT.VIA DI MONTENERO,408",31.0
143,"'C.BARTOLENA' VIA MICHEL,8",25.0
144,"'C.BARTOLENA' VIA MICHEL,8",38.0
145,"CASTELLAC.VIA QUERCIANELLA,126",38.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",31.0
147,"A.GRAMSCI VIA CAMPANIA, 39",35.0
148,"A.GRAMSCI VIA CAMPANIA, 39",30.0
149,"A.GRAMSCI VIA CAMPANIA, 39",26.0
150,"A.GRAMSCI VIA CAMPANIA, 39",15.0
151,"A.GRAMSCI VIA CAMPANIA, 39",24.0
152,"A.GRAMSCI VIA CAMPANIA, 39",22.0
153,"A.GRAMSCI VIA CAMPANIA, 39",20.0
154,"A.GRAMSCI VIA CAMPANIA, 39",17.0
155,"P.THOUAR VIA D.NICCODEMI,1",21.0
156,"P.THOUAR VIA D.NICCODEMI,1",37.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",20.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",21.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",29.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",15.0
161,"V.CORRIDI V.DI COLLINAIA,19",32.0
162,"V.CORRIDI V.DI COLLINAIA,19",42.0
163,"V.CORRIDI V.DI COLLINAIA,19",37.0
164,"V.CORRIDI V.DI COLLINAIA,19",26.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",20.0
166,"'C.BARTOLENA' VIA MICHEL,8",22.0
167,"'C.BARTOLENA' VIA MICHEL,8",18.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",12.0
169,"'C.BARTOLENA' VIA MICHEL,8",16.0
170,"'C.BARTOLENA' VIA MICHEL,8",32.0
171,"V.CORRIDI V.DI COLLINAIA,19",30.0
172,"V.CORRIDI V.DI COLLINAIA,19",24.0
