Sezione,Ubicazione,Voti
107,"P.ALBERTELLI V.P.ALBERTELLI,1",157.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",131.0
109,"BARTOLENA VIA E.BOIS,14",198.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",146.0
111,"BARTOLENA VIA E.BOIS,14",157.0
112,"BARTOLENA VIA E.BOIS,14",163.0
113,"BARTOLENA VIA E.BOIS,14",173.0
114,"R.NATALI VIA A.CECIONI,37",187.0
115,"R.NATALI VIA A.CECIONI,37",185.0
116,"R.NATALI VIA A.CECIONI,37",166.0
117,"R.NATALI VIA A.CECIONI,37",157.0
118,"B.BRIN VIA SARDEGNA,25",168.0
119,"B.BRIN VIA SARDEGNA,25",157.0
120,"B.BRIN VIA SARDEGNA,25",157.0
121,"B.BRIN VIA SARDEGNA,25",153.0
122,"B.BRIN VIA SARDEGNA,25",187.0
123,"B.BRIN VIA SARDEGNA,25",146.0
124,LAMBRUSCHINI VIA P.VILLARI,224.0
125,LAMBRUSCHINI VIA P.VILLARI,175.0
126,"C.CATTANEO VIA C.CATTANEO,5",118.0
127,"C.CATTANEO VIA C.CATTANEO,5",154.0
128,"C.CATTANEO VIA C.CATTANEO,5",167.0
129,"C.CATTANEO VIA C.CATTANEO,5",128.0
130,"C.CATTANEO VIA C.CATTANEO,5",133.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",200.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",208.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",149.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",143.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",169.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",195.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",173.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",180.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",184.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",160.0
141,"ELEM.MONT.VIA DI MONTENERO,408",174.0
142,"ELEM.MONT.VIA DI MONTENERO,408",188.0
143,"'C.BARTOLENA' VIA MICHEL,8",192.0
144,"'C.BARTOLENA' VIA MICHEL,8",178.0
145,"CASTELLAC.VIA QUERCIANELLA,126",205.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",169.0
147,"A.GRAMSCI VIA CAMPANIA, 39",250.0
148,"A.GRAMSCI VIA CAMPANIA, 39",226.0
149,"A.GRAMSCI VIA CAMPANIA, 39",196.0
150,"A.GRAMSCI VIA CAMPANIA, 39",194.0
151,"A.GRAMSCI VIA CAMPANIA, 39",166.0
152,"A.GRAMSCI VIA CAMPANIA, 39",212.0
153,"A.GRAMSCI VIA CAMPANIA, 39",209.0
154,"A.GRAMSCI VIA CAMPANIA, 39",189.0
155,"P.THOUAR VIA D.NICCODEMI,1",150.0
