Sezione,Ubicazione,Voti
107,"P.ALBERTELLI V.P.ALBERTELLI,1",39.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",36.0
109,"BARTOLENA VIA E.BOIS,14",51.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",54.0
111,"BARTOLENA VIA E.BOIS,14",50.0
112,"BARTOLENA VIA E.BOIS,14",49.0
113,"BARTOLENA VIA E.BOIS,14",65.0
114,"R.NATALI VIA A.CECIONI,37",40.0
115,"R.NATALI VIA A.CECIONI,37",25.0
116,"R.NATALI VIA A.CECIONI,37",41.0
117,"R.NATALI VIA A.CECIONI,37",47.0
118,"B.BRIN VIA SARDEGNA,25",53.0
119,"B.BRIN VIA SARDEGNA,25",48.0
120,"B.BRIN VIA SARDEGNA,25",57.0
121,"B.BRIN VIA SARDEGNA,25",35.0
122,"B.BRIN VIA SARDEGNA,25",55.0
123,"B.BRIN VIA SARDEGNA,25",54.0
124,LAMBRUSCHINI VIA P.VILLARI,31.0
125,LAMBRUSCHINI VIA P.VILLARI,41.0
126,"C.CATTANEO VIA C.CATTANEO,5",30.0
127,"C.CATTANEO VIA C.CATTANEO,5",41.0
128,"C.CATTANEO VIA C.CATTANEO,5",30.0
129,"C.CATTANEO VIA C.CATTANEO,5",27.0
130,"C.CATTANEO VIA C.CATTANEO,5",24.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",25.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",44.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",51.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",39.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",33.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",32.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",30.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",47.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",51.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",36.0
141,"ELEM.MONT.VIA DI MONTENERO,408",40.0
142,"ELEM.MONT.VIA DI MONTENERO,408",36.0
143,"'C.BARTOLENA' VIA MICHEL,8",35.0
144,"'C.BARTOLENA' VIA MICHEL,8",30.0
145,"CASTELLAC.VIA QUERCIANELLA,126",32.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",59.0
147,"A.GRAMSCI VIA CAMPANIA, 39",51.0
148,"A.GRAMSCI VIA CAMPANIA, 39",45.0
149,"A.GRAMSCI VIA CAMPANIA, 39",39.0
150,"A.GRAMSCI VIA CAMPANIA, 39",31.0
151,"A.GRAMSCI VIA CAMPANIA, 39",25.0
152,"A.GRAMSCI VIA CAMPANIA, 39",37.0
153,"A.GRAMSCI VIA CAMPANIA, 39",50.0
154,"A.GRAMSCI VIA CAMPANIA, 39",37.0
155,"P.THOUAR VIA D.NICCODEMI,1",42.0
156,"P.THOUAR VIA D.NICCODEMI,1",32.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",11.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",42.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",44.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",21.0
161,"V.CORRIDI V.DI COLLINAIA,19",34.0
162,"V.CORRIDI V.DI COLLINAIA,19",26.0
163,"V.CORRIDI V.DI COLLINAIA,19",47.0
164,"V.CORRIDI V.DI COLLINAIA,19",42.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",27.0
166,"'C.BARTOLENA' VIA MICHEL,8",22.0
167,"'C.BARTOLENA' VIA MICHEL,8",36.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",14.0
169,"'C.BARTOLENA' VIA MICHEL,8",14.0
170,"'C.BARTOLENA' VIA MICHEL,8",39.0
171,"V.CORRIDI V.DI COLLINAIA,19",65.0
172,"V.CORRIDI V.DI COLLINAIA,19",26.0
