Sezione,Ubicazione,Voti
34,"MICALI SUCC.VIA DEGLI ARCHI,66",11.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",15.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",32.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",28.0
38,"MICALI VIA MARRADI,120",30.0
39,"MICALI VIA MARRADI,120",15.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",19.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",17.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",9.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",24.0
44,"E.DE AMICIS VIALE G.MARCONI,77",17.0
45,"E.DE AMICIS VIALE G.MARCONI,77",32.0
46,"E.DE AMICIS VIALE G.MARCONI,77",9.0
47,"E.DE AMICIS VIALE G.MARCONI,77",15.0
48,"A.BENCI VIA A. NOVELLI, N. 1",13.0
49,"A.BENCI VIA A. NOVELLI, N. 1",8.0
50,"G.PAZZINI VIA SAN GAETANO,19",4.0
51,"G.PAZZINI VIA SAN GAETANO,19",13.0
52,"G.PAZZINI VIA SAN GAETANO,19",31.0
53,"G.PAZZINI VIA SAN GAETANO,19",19.0
54,"G.PAZZINI VIA SAN GAETANO,19",17.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",7.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",3.0
57,"MAZZINI SUCC.V.LE CARDUCCI,16",3.0
58,"G.MAZZINI V.GIOV.T.TOZZETTI,5",13.0
59,"G.MAZZINI V.GIOV.T.TOZZETTI,5",10.0
60,OSPEDALE CIVILE,3.0
61,OSPEDALE CIVILE,3.0
62,"V.CORRIDI V.DI COLLINAIA,19",13.0
63,"MAZZINI SUCC.V.LE CARDUCCI,16",12.0
64,"G.MAZZINI V.GIOV.T.TOZZETTI,5",19.0
65,"G.PUCCINI VIA E.ZOLA,75",12.0
66,"G.PUCCINI VIA E.ZOLA,75",7.0
67,"G.PUCCINI VIA E.ZOLA,75",10.0
68,"G.PUCCINI VIA E.ZOLA,75",1.0
69,"S.M. 'FERMI' VIA N.STENONE,12",13.0
70,"S.M. 'FERMI' VIA N.STENONE,12",5.0
71,"S.M. 'FERMI' VIA N.STENONE,12",7.0
72,"S.M. 'FERMI' VIA N.STENONE,12",2.0
73,"G.MICHELI PIAZ.LE XI MAGGIO,25",2.0
74,"G.MICHELI PIAZ.LE XI MAGGIO,25",9.0
75,"G.MICHELI PIAZ.LE XI MAGGIO,25",18.0
76,"G.MICHELI PIAZ.LE XI MAGGIO,25",6.0
77,"A.MODIGLIANI VIA AGNOLETTI,3",7.0
78,"A.MODIGLIANI VIA AGNOLETTI,3",10.0
79,"A.MODIGLIANI VIA AGNOLETTI,3",9.0
80,"G.FATTORI VIA T.SCALI,72",15.0
81,"G.FATTORI VIA T.SCALI,72",12.0
82,"P.THOUAR VIA DELLE SORGENTI,39",10.0
83,"P.THOUAR VIA DELLE SORGENTI,39",3.0
84,"P.THOUAR VIA DELLE SORGENTI,39",9.0
85,"P.THOUAR VIA DELLE SORGENTI,39",4.0
86,"MICHELANGELO VIA R.DUDLEY,3",5.0
87,"MICHELANGELO VIA R.DUDLEY,3",6.0
88,"MICHELANGELO VIA R.DUDLEY,3",3.0
89,"MICHELANGELO VIA R.DUDLEY,3",16.0
